id deudor,Fecha carga DL,operation_id,amount,payment_method,anual_sales_volume,mean_time,invoice_mean_val,entity_type,relationship_years,creation_date,payment_date,city,industry,result
1,2021-06-04,1,18714.0,'cheque',391000,90 días,Entre USD 5000 y USD 20000,persona natural,5,2021-05-25,2021-05-25,,9.0,Aceptada
2,2022-08-02,2,1596.0,'cheque',33000,60 días,Menos de USD 1000,persona jurídica,7,2022-07-23,2022-12-02,11.0,12.0,Aceptada
2,2022-08-28,3,19152.0,'cheque',409000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2022-08-18,2022-12-16,12.0,10.0,Aceptada
4,2022-07-16,4,6354.0,'cheque',68000,90 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-07-06,2022-09-29,17.0,5.0,Aceptada
5,2022-05-27,5,9729.72,'cheque',214000,120 días,Entre USD 20000 y USD 100000,persona natural,3,2022-05-17,2022-08-30,7.0,15.0,Aceptada
6,2022-01-20,6,22197.0,'cheque',262000,60 días,Más de USD 100000,persona jurídica,7,2022-01-10,2022-01-25,5.0,3.0,Rechazada
7,2022-05-13,7,3598.0,'transferencia bancaria',68000,60 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-05-03,2022-05-03,2.0,,Aceptada
5,2022-06-03,8,28182.0,'cheque',191000,120 días,Entre USD 5000 y USD 20000,persona natural,1,2022-05-24,2022-06-01,2.0,4.0,Aceptada
1,2022-04-17,9,17337.88,'transferencia bancaria',426000,120 días,Entre USD 1000 y USD 5000,persona natural,1,2022-04-07,2022-07-20,8.0,13.0,Rechazada
10,2022-01-26,10,39367.0,'transferencia bancaria',635000,120 días,Entre USD 20000 y USD 100000,persona natural,4,2022-01-16,2022-02-25,4.0,10.0,Aceptada
11,2022-01-04,11,729.0,'transferencia bancaria',12000,120 días,Menos de USD 1000,persona jurídica,8,2021-12-25,2022-06-23,15.0,12.0,Aceptada
12,2022-05-24,12,373.13,'transferencia bancaria',4000,120 días,Menos de USD 1000,persona jurídica,5,2022-05-14,2022-07-28,15.0,5.0,Aceptada
13,2022-08-26,13,23381.14,'cheque',168000,120 días,Más de USD 100000,persona jurídica,8,2022-08-16,2022-08-28,4.0,3.0,Aceptada
14,2022-07-23,14,15491.7,'cheque',372000,120 días,Entre USD 1000 y USD 5000,persona natural,2,2022-07-13,2022-08-15,3.0,11.0,Aceptada
